Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
1:              1391575 1284235472      char[]
2:              9590757 306904224       java.util.HashMap$Node
3:              354634  233531752       byte[]
4:              232701  62845192        java.util.HashMap$Node[]
5:              1616579 51730528        java.util.concurrent.ConcurrentHashMap$Node
6:              658961  42173504        java.util.concurrent.ConcurrentHashMap
7:              207871  39087048        int[]
8:              364097  34401152        java.util.concurrent.ConcurrentHashMap$Node[]
9:              1329735 31913640        java.lang.String
10:             446491  25003496        java.util.LinkedHashMap
11:             468959  22510032        java.util.HashMap
12:             78445   15689000        org.apache.http.impl.client.HttpClientBuilder
13:             405658  12981056        java.lang.ref.ReferenceQueue
14:             405482  12975424        sun.security.util.MemoryCache
15:             101370  7298640 org.apache.http.impl.conn.CPool
16:             215764  6904448 java.util.LinkedList
17:             405660  6490560 java.lang.ref.ReferenceQueue$Lock
18:             101371  6487744 java.security.SecureRandom
19:             202740  6487680 sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair
20:             202740  6487680 sun.security.ssl.SSLSessionContextImpl
21:             101370  6487680 sun.security.ssl.SSLContextImpl$TLSContext
22:             161079  6443160 java.lang.ref.Finalizer
23:             156890  6275568 org.apache.http.HttpRequestInterceptor[]
24:             160305  6162592 java.lang.Object[]
25:             101372  5676832 sun.security.provider.SHA
26:             78443   5647896 com.jinba.spider.core.HttpMethod
27:             336699  5387184 org.apache.http.config.Registry
28:             89717   5024152 org.apache.http.client.config.RequestConfig
29:             78443   4392808 org.apache.http.client.config.RequestConfig$Builder
30:             78443   4392808 org.apache.http.impl.execchain.MainClientExec
31:             78443   4392808 org.apache.http.impl.client.InternalHttpClient
32:             100493  4019720 java.util.LinkedHashMap$Entry
33:             162573  3901752 java.util.ArrayList
34:             78839   3784272 java.util.TreeMap
35:             156886  3765264 org.apache.http.impl.cookie.RFC6265CookieSpecProvider
36:             156886  3765264 org.apache.http.protocol.ImmutableHttpProcessor
37:             210104  3361664 java.util.HashSet
38:             27382   3285840 java.net.SocksSocketImpl
39:             101768  3256576 java.util.concurrent.locks.ReentrantLock$NonfairSync
40:             101372  3243904 java.security.MessageDigest$Delegate
41:             101372  3243904 sun.security.provider.SecureRandom
42:             101370  3243840 org.apache.http.impl.conn.PoolingHttpClientConnectionManager$ConfigData
43:             101370  3243840 org.apache.http.impl.conn.PoolingHttpClientConnectionManager
44:             101370  3243840 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator
45:             101370  3243840 sun.security.ssl.X509TrustManagerImpl
46:             101370  3243840 org.apache.http.conn.ssl.SSLConnectionSocketFactory
47:             156886  3137720 org.apache.http.HttpResponseInterceptor[]
48:             171841  2749456 java.lang.Object
49:             67659   2706360 org.jsoup.nodes.TextNode
50:             78443   2510176 org.apache.http.impl.execchain.RedirectExec
51:             156886  2510176 org.apache.http.protocol.RequestTargetHost
52:             156886  2510176 org.apache.http.protocol.RequestUserAgent
53:             78443   2510176 org.apache.http.impl.cookie.DefaultCookieSpecProvider
54:             101516  2436384 java.util.concurrent.atomic.AtomicLong
55:             101370  2432880 sun.security.ssl.EphemeralKeyManager$EphemeralKeyPair[]
56:             101370  2432880 org.apache.http.conn.ssl.DefaultHostnameVerifier
57:             101370  2432880 org.apache.http.impl.conn.PoolingHttpClientConnectionManager$InternalConnectionFactory
58:             60772   2430880 java.math.BigDecimal
59:             27382   2409616 java.net.DualStackPlainSocketImpl
60:             97162   2331888 org.jsoup.nodes.Attribute
61:             26781   2142480 com.jinba.pojo.XiaoQuEntity
62:             48249   1929960 com.jinba.scheduled.dianping.ImageClawer
63:             78443   1882632 org.apache.http.client.protocol.ResponseContentEncoding
64:             78443   1882632 org.apache.http.impl.client.HttpClientBuilder$2
65:             78443   1882632 org.apache.http.impl.execchain.ProtocolExec
66:             78443   1882632 org.apache.http.impl.cookie.NetscapeDraftSpecProvider
67:             78443   1882632 org.apache.http.impl.execchain.RetryExec
68:             77403   1857672 java.util.concurrent.LinkedBlockingQueue$Node
69:             109034  1744544 java.util.concurrent.atomic.AtomicBoolean
70:             41076   1643040 org.jsoup.nodes.Element
71:             101743  1627888 java.util.concurrent.locks.ReentrantLock
72:             101370  1621920 sun.security.ssl.EphemeralKeyManager
73:             101370  1621920 sun.security.ssl.SSLSocketFactoryImpl
74:             16371   1309680 java.net.URI
75:             78445   1255120 java.util.TreeSet
76:             78444   1255104 org.apache.http.cookie.CookieIdentityComparator
77:             78443   1255088 org.apache.http.impl.auth.BasicSchemeFactory
78:             78443   1255088 org.apache.http.protocol.RequestContent
79:             78443   1255088 org.apache.http.impl.client.BasicCredentialsProvider
80:             78443   1255088 org.apache.http.impl.auth.DigestSchemeFactory
81:             78443   1255088 org.apache.http.client.protocol.RequestClientConnControl
82:             78443   1255088 org.apache.http.impl.conn.DefaultRoutePlanner
83:             78443   1255088 org.apache.http.impl.auth.NTLMSchemeFactory
84:             78443   1255088 org.apache.http.client.protocol.RequestExpectContinue
85:             78443   1255088 org.apache.http.impl.auth.SPNegoSchemeFactory
86:             78443   1255088 org.apache.http.protocol.HttpRequestExecutor
87:             78443   1255088 org.apache.http.impl.auth.HttpAuthenticator
88:             78443   1255088 org.apache.http.impl.auth.KerberosSchemeFactory
89:             78443   1255088 org.apache.http.client.protocol.RequestAddCookies
90:             78443   1255088 org.apache.http.conn.routing.BasicRouteDirector
91:             78443   1255088 org.apache.http.impl.client.BasicCookieStore
92:             78443   1255088 org.apache.http.client.protocol.RequestAcceptEncoding
93:             78443   1255088 org.apache.http.impl.cookie.IgnoreSpecProvider
94:             78443   1255088 org.apache.http.client.protocol.RequestAuthCache
95:             78443   1255088 org.apache.http.client.protocol.RequestDefaultHeaders
96:             78443   1255088 org.apache.http.client.protocol.ResponseProcessCookies
97:             12602   1209792 sun.util.calendar.Gregorian$Date
98:             11357   1090272 java.util.jar.JarFile$JarFileEntry
99:             26676   1067040 com.jinba.scheduled.dianping.DianPingDetailClawer
100:            17024   953344  org.apache.http.impl.cookie.BasicClientCookie
101:            28153   900896  org.apache.http.HttpHost
102:            27379   876128  java.net.Socket
103:            27359   875488  java.net.InetAddress$InetAddressHolder
104:            26682   853824  java.util.concurrent.CountDownLatch$Sync
105:            33408   801792  org.apache.http.util.CharArrayBuffer
106:            19024   760960  java.util.TreeMap$Entry
107:            18890   755600  java.io.FileDescriptor
108:            6611    754656  java.lang.Class
109:            14255   684240  java.net.SocketInputStream
110:            14255   684240  java.net.SocketOutputStream
111:            42469   679504  org.jsoup.nodes.Attributes
112:            41452   663232  com.google.common.collect.Count
113:            27352   656448  java.net.Inet4Address
114:            26679   640296  com.jinba.utils.CountDownLatchUtils
115:            37282   596512  java.util.HashMap$KeySet
116:            12376   594048  com.jinba.pojo.ProxyCheckResEntity
